Timestamp,Have you ever heard of antibiotics before?,Antibiotics are used to treat:,Do antibiotics work against the common flu/cold?,Have you ever stopped taking antibiotics before completing the full course?,Have you ever taken antibiotics without a doctor's prescription?,"Do you know what ""antimicrobial resistance"" means?",Where do you mostly learn health information from?,Should schools teach more about antibiotic resistance?,What age group do you belong to?,Column 9
26-05-2026 11:02,Yes,Bacterial infections,No,No,Yes,Yes,Internet,Yes,,
26-05-2026 12:18,Yes,Don't know,Not sure,No,No,No,Internet,Yes,,
26-05-2026 13:33,Yes,Viral infections,Yes,Yes,No,No,Doctors,Yes,,
26-05-2026 14:05,Yes,Bacterial infections,Not sure,Yes,Yes,Yes,Internet,Yes,,
26-05-2026 16:10,Yes,Bacterial infections,No,No,No,Yes,Internet,Yes,,
26-05-2026 19:06,Yes,Viral infections,Yes,Yes,Yes,No,Internet,Yes,,
27-05-2026 08:53,Yes,Bacterial infections,No,No,No,Yes,Internet,Yes,,
27-05-2026 09:48,Yes,Viral infections,Not sure,No,No,No,Parents,Yes,,
27-05-2026 09:51,Yes,Bacterial infections,No,No,No,Yes,Internet,Yes,,
28-05-2026 15:03,Yes,Bacterial infections,No,No,No,Somewhat,Internet,Yes,,
28-05-2026 15:10,Yes,Bacterial infections,No,No,No,Somewhat,School,Yes,,
28-05-2026 15:13,Yes,Bacterial infections,No,No,Yes,No,Internet,Yes,,
28-05-2026 15:35,Yes,Bacterial infections,Not sure,No,No,No,School,Yes,,
28-05-2026 15:53,Yes,Fungal infections,Yes,No,Yes,Yes,Internet,Yes,,
28-05-2026 15:57,Yes,Bacterial infections,Yes,No,No,Somewhat,Social media,Yes,,
28-05-2026 16:01,Yes,Bacterial infections,Not sure,No,No,Somewhat,Parents,Yes,,
28-05-2026 16:19,Yes,Bacterial infections,Yes,Yes,Yes,Yes,Parents,No,,
28-05-2026 16:38,Yes,Viral infections,No,Yes,No,Somewhat,Internet,Yes,,
28-05-2026 20:27,Yes,Bacterial infections,Not sure,No,No,Somewhat,Internet,Yes,,
